Id,DatasetID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Replicates,Habitat,LabField,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,Location,LocationType,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor2Kingdom,Interactor2Phylum,Interactor2Class,Interactor2Order,Interactor2Family,Interactor2Genus,Interactor2Species,Interactor2Stage,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory
81983,56,PHX61,survival,percent surviving life stage,0.0,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,16.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81984,56,PHX61,survival,percent surviving life stage,42.0,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,18.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81985,56,PHX61,survival,percent surviving life stage,70.0,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,20.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81986,56,PHX61,survival,percent surviving life stage,76.0,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,22.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81987,56,PHX61,survival,percent surviving life stage,78.7,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,24.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81988,56,PHX61,survival,percent surviving life stage,72.7,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,26.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81989,56,PHX61,survival,percent surviving life stage,66.0,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,28.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81990,56,PHX61,survival,percent surviving life stage,27.3,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,30.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81991,56,PHX61,survival,percent surviving life stage,34.7,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,32.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81992,56,PHX61,survival,percent surviving life stage,0.0,percent,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,34.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81993,57,PHX6,development time,mean duration of life stage,0.0,days,,,,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,16.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,trait value was set to zero because complete juvenile mortality occured at this temperature,Interactor1Temp,LocationText
81994,57,PHX6,development time,mean duration of life stage,23.3,days,1.1,0.2,95% CI,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,18.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
81995,57,PHX6,development time,mean duration of life stage,20.4,days,0.9,0.2,95% CI,,terrestrial,laboratory,,,,,Lagos Nigeria,colony,decimal,6.455027,3.384082,Anopheles gambiae,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,gambiae,juvenile,,20.0,Celsius,26.0,Celsius,,,,,,,,,table 1,Bayoh and Lindsay 2003. Effect of temperature on the development of the aquatic stages of Anopheles gambiae sensu stricto (Diptera: Culicidae). Bull. Entomol. Res. 93: 375-381.,10.1079/BER2003259,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText
